genus	domain	n_species	core_genes	bins_65	min_aai	mean_aai	pairs_ge95	gtdb_genera	genomes_in_gtdb	genomes_not_in_gtdb	ari_vs_gtdb	outcome	wall_seconds
Flaviflexus	Bacteria	5	1182	1	73.99	77.22	0	1	5	0	nan	both coherent	4
Flavihumibacter	Bacteria	8	1337	1	67.55	71.59	0	1	7	1	nan	both coherent	9
Flavisolibacter	Bacteria	5	1237	1	66.12	69.94	0	1	4	1	nan	both coherent	6
Flavivirga	Bacteria	9	1669	1	77.02	82.79	0	2	9	0	0.0	RaGCAn one bin, GTDB splits	11
Flavobacterium	Bacteria	327	248	4	62.34	72.88	24	1	319	8	0.0	RaGCAn split, GTDB one genus	2383
Flectobacillus	Bacteria	4	2755	1	76.77	85.79	1	1	4	0	nan	both coherent	7
Flexivirga	Bacteria	7	1580	1	74.03	78.74	0	1	6	1	nan	both coherent	7
Flintibacter	Bacteria	4	822	1	68.01	70.71	0	1	4	0	nan	both coherent	4
Floridaenema	Bacteria	4	3346	1	86.17	88.29	0					not scored (no GTDB data)	8
Fodinibius	Bacteria	9	1058	1	70.39	73.11	0	1	9	0	nan	both coherent	8
Formosa	Bacteria	7	1901	1	80.09	83.00	0	1	7	0	nan	both coherent	7
Francisella	Bacteria	15	614	1	69.17	81.94	4	1	15	0	nan	both coherent	20
Frankia	Bacteria	8	1154	1	66.54	77.40	0	2	8	0	0.0	RaGCAn one bin, GTDB splits	13
Frateuria	Bacteria	7	935	1	66.52	79.25	0	3	7	0	0.0	RaGCAn one bin, GTDB splits	6
Frondihabitans	Bacteria	4	1309	1	73.77	76.10	0	1	4	0	nan	both coherent	5
Fructilactobacillus	Bacteria	11	475	2	63.95	72.71	2	1	11	0	0.0	RaGCAn split, GTDB one genus	5
Fructobacillus	Bacteria	13	609	1	71.21	77.03	2	1	13	0	nan	both coherent	39
Fulvimarina	Bacteria	6	1696	1	71.51	77.41	0	1	6	0	nan	both coherent	6
Fulvivirga	Bacteria	11	787	3	61.87	67.78	0	1	10	1	0.0	RaGCAn split, GTDB one genus	15
Fundidesulfovibrio	Bacteria	6	1121	1	65.53	72.24	0	1	5	1	nan	both coherent	8
Furfurilactobacillus	Bacteria	6	988	1	74.62	79.59	3	1	4	2	nan	both coherent	5
Fusibacter	Bacteria	5	606	4	59.67	62.63	0	3	3	2	nan	both split	5
Fusobacterium	Bacteria	22	255	4	58.35	71.17	1	4	20	2	1.0	both split	15
Gaetbulibacter	Bacteria	4	1129	1	69.94	71.72	0	4	4	0	0.0	RaGCAn one bin, GTDB splits	4
Galbibacter	Bacteria	5	1417	1	71.30	75.65	0	1	5	0	nan	both coherent	6
Gallaecimonas	Bacteria	5	1566	1	72.93	76.53	0	1	4	1	nan	both coherent	6
Gallibacterium	Bacteria	5	1337	1	82.65	86.35	0	1	5	0	nan	both coherent	5
Gardnerella	Bacteria	19	531	1	79.72	85.53	13	1	15	4	nan	both coherent	8
Gelidibacter	Bacteria	8	1894	1	80.28	83.51	0	1	8	0	nan	both coherent	7
Gemella	Bacteria	8	873	1	77.62	81.54	1	1	5	3	nan	both coherent	5
Gemmata	Bacteria	4	2846	1	74.79	80.31	0	1	4	0	nan	both coherent	10
Gemmobacter	Bacteria	12	1177	1	67.83	76.05	1	2	12	0	0.0	RaGCAn one bin, GTDB splits	13
Geobacillus	Bacteria	12	1760	1	86.40	91.79	18	1	11	1	nan	both coherent	10
Geobacter	Bacteria	9	923	2	63.78	74.84	1	2	8	1	0.0	RaGCAn one bin, GTDB splits	9
Geodermatophilus	Bacteria	20	1557	1	77.00	81.39	0	1	20	0	nan	both coherent	34
Geomonas	Bacteria	14	1916	1	72.53	83.70	3	1	14	0	nan	both coherent	117
Georgenia	Bacteria	16	608	2	64.34	70.68	0	5	15	1	0.5168	both split	46
Geothrix	Bacteria	12	1622	1	76.94	85.57	2	1	12	0	nan	both coherent	10
Gilliamella	Bacteria	6	1307	1	82.21	85.77	0	1	6	0	nan	both coherent	5
Gillisia	Bacteria	6	1404	1	73.98	78.21	0	1	6	0	nan	both coherent	6
Gilvimarinus	Bacteria	7	1426	1	70.24	74.75	0	1	7	0	nan	both coherent	7
Gimesia	Bacteria	8	3026	1	76.31	80.98	1	1	8	0	nan	both coherent	16
Gluconacetobacter	Bacteria	13	1112	1	69.65	81.84	3	2	13	0	0.0	RaGCAn one bin, GTDB splits	67
Gluconobacter	Bacteria	17	1277	1	74.81	83.36	4	1	17	0	nan	both coherent	72
Glutamicibacter	Bacteria	13	1328	1	72.07	78.03	2	1	12	1	nan	both coherent	77
Glycomyces	Bacteria	24	1373	1	73.46	78.86	1	1	21	3	nan	both coherent	52
Gordonia	Bacteria	59	560	2	64.36	71.19	4	2	59	0	1.0	both split	177
Gottfriedia	Bacteria	4	1711	1	70.92	76.94	0	1	4	0	nan	both coherent	5
Gracilibacillus	Bacteria	22	851	1	65.58	73.58	4	1	21	1	nan	both coherent	30
Gracilimonas	Bacteria	6	1390	1	74.24	77.27	0	1	6	0	nan	both coherent	6
Granulicatella	Bacteria	4	491	2	64.92	66.50	0	1	3	1	0.0	RaGCAn split, GTDB one genus	4
Granulicella	Bacteria	9	568	2	62.18	66.05	0	2	9	0	1.0	both split	9
Grimontia	Bacteria	6	2447	1	85.96	91.95	3	1	6	0	nan	both coherent	9
Gryllotalpicola	Bacteria	6	1264	1	74.81	79.90	0	1	6	0	nan	both coherent	6
Gulosibacter	Bacteria	6	711	1	66.71	71.05	1	1	6	0	nan	both coherent	5
Guptibacillus	Bacteria	4	2537	1	76.72	81.18	0	1	4	0	nan	both coherent	5
Gymnodinialimonas	Bacteria	5	1929	1	75.37	78.09	0	1	5	0	nan	both coherent	6
Haemophilus	Bacteria	10	656	1	69.16	77.23	1	4	10	0	0.0	RaGCAn one bin, GTDB splits	41
Haladaptatus	Archaea	10	1817	1	75.84	79.91	0	1	7	3	nan	both coherent	14
Halalkalibacter	Bacteria	13	1212	1	68.80	74.84	1	2	11	2	0.0	RaGCAn one bin, GTDB splits	76
Halalkalicoccus	Archaea	6	1584	1	74.54	78.14	0	1	5	1	nan	both coherent	77
Halanaerobium	Bacteria	8	816	1	68.32	75.31	0	1	7	1	nan	both coherent	6
Halarchaeum	Archaea	5	1364	1	79.30	83.36	0	1	5	0	nan	both coherent	61
Halarcobacter	Bacteria	4	1382	1	73.19	75.79	0	1	4	0	nan	both coherent	5
Hallella	Bacteria	7	717	1	67.64	72.33	0	1	7	0	nan	both coherent	5
Haloarchaeobius	Archaea	10	1428	1	70.84	76.49	0	1	10	0	nan	both coherent	10
Haloarcula	Archaea	32	1008	1	72.42	77.57	4	1	30	2	nan	both coherent	52
Halobacillus	Bacteria	24	1102	1	69.13	73.76	2	3	24	0	0.0	RaGCAn one bin, GTDB splits	29
Halobacterium	Archaea	10	903	1	71.14	76.06	0	1	9	1	nan	both coherent	7
Halobaculum	Archaea	11	1452	1	79.77	83.74	0	1	11	0	nan	both coherent	9
Halobellus	Archaea	13	1083	1	74.55	79.32	0	1	13	0	nan	both coherent	11
Halocatena	Archaea	4	1341	1	65.95	72.17	0	1	4	0	nan	both coherent	59
Halococcus	Archaea	10	1269	1	71.75	78.74	1	1	9	1	nan	both coherent	8
Halodesulfovibrio	Bacteria	4	2167	1	84.20	85.49	0	1	3	1	nan	both coherent	5
Haloechinothrix	Bacteria	4	1788	1	68.82	76.33	0	2	4	0	0.0	RaGCAn one bin, GTDB splits	6
Haloferax	Archaea	17	1615	1	77.25	84.02	3	1	17	0	nan	both coherent	89
Haloferula	Bacteria	5	1153	1	67.09	69.53	0	1	5	0	nan	both coherent	6
Halogeometricum	Archaea	6	1853	1	77.76	81.52	0	1	6	0	nan	both coherent	88
Haloglomus	Archaea	4	1939	1	79.16	83.43	0	1	4	0	nan	both coherent	88
Halogranum	Archaea	4	2129	1	79.14	82.52	0	1	3	1	nan	both coherent	94
Haloimpatiens	Bacteria	4	1076	1	66.69	71.93	0	1	4	0	nan	both coherent	5
Halolamina	Archaea	6	1479	1	81.06	83.62	0	1	5	1	nan	both coherent	70
Halomarina	Archaea	7	1198	1	68.28	72.64	0	1	7	0	nan	both coherent	62
Halomicrobium	Archaea	5	1321	1	69.72	75.22	1	1	5	0	nan	both coherent	59
Halomonas	Bacteria	71	609	1	68.49	76.06	3	5	65	6	0.0	RaGCAn one bin, GTDB splits	175
Halonotius	Archaea	4	1453	1	78.51	83.86	0	1	4	0	nan	both coherent	68
Halopiger	Archaea	5	1641	1	75.58	80.32	0	3	4	1	0.0	RaGCAn one bin, GTDB splits	78
Haloplanus	Archaea	13	1339	1	78.37	81.03	1	1	13	0	nan	both coherent	28
Haloprofundus	Archaea	5	2222	1	84.34	86.50	0	1	5	0	nan	both coherent	103
Halopseudomonas	Bacteria	17	1176	1	72.04	75.51	0	1	16	1	nan	both coherent	19
Halorhabdus	Archaea	5	1402	1	75.61	78.57	0	1	5	0	nan	both coherent	66
Halorhodospira	Bacteria	4	979	1	69.60	71.45	0	1	4	0	nan	both coherent	4
Halorientalis	Archaea	8	1312	1	71.32	75.30	0	1	7	1	nan	both coherent	66
Halorubrum	Archaea	48	714	1	71.47	79.83	0	1	40	8	nan	both coherent	75
Halorussus	Archaea	17	1205	1	71.84	77.54	0	1	17	0	nan	both coherent	41
Halosimplex	Archaea	11	1991	1	79.63	83.44	0	1	11	0	nan	both coherent	13
Halostagnicola	Archaea	4	2196	1	80.04	83.60	0					not scored (no GTDB data)	7
Halostella	Archaea	4	1826	1	76.56	78.85	0	1	4	0	nan	both coherent	7
Haloterrigena	Archaea	6	2327	1	81.53	88.17	0	1	6	0	nan	both coherent	12
Halovenus	Archaea	8	885	1	65.79	70.14	0	1	7	1	nan	both coherent	48
Halovivax	Archaea	5	1406	1	71.92	77.01	0	1	5	0	nan	both coherent	66
Hansschlegelia	Bacteria	4	1668	1	74.20	76.20	0	1	4	0	nan	both coherent	5
Hanstruepera	Bacteria	4	1893	1	80.56	83.25	0	1	4	0	nan	both coherent	5
Hathewaya	Bacteria	4	644	2	61.55	66.93	0	1	4	0	0.0	RaGCAn split, GTDB one genus	4
Helcococcus	Bacteria	5	401	2	63.36	68.10	0	1	5	0	0.0	RaGCAn split, GTDB one genus	4
Helicobacter	Bacteria	60	81	12	53.74	59.67	0	10	58	2	0.8857	both split	35
Heliomicrobium	Bacteria	4	1831	1	85.35	87.46	0	1	3	1	nan	both coherent	5
Henriciella	Bacteria	7	1664	1	74.27	77.27	0	1	7	0	nan	both coherent	6
Herbaspirillum	Bacteria	12	1856	1	74.32	81.88	2	1	11	1	nan	both coherent	66
Herbiconiux	Bacteria	13	1249	1	76.02	78.34	0	1	13	0	nan	both coherent	54
Herbidospora	Bacteria	7	5093	1	87.62	90.72	0	1	7	0	nan	both coherent	18
Herminiimonas	Bacteria	5	2019	1	81.84	85.41	0	1	5	0	nan	both coherent	6
Herpetosiphon	Bacteria	4	3922	1	88.44	91.39	0	1	4	0	nan	both coherent	7
Heyndrickxia	Bacteria	10	923	1	65.33	70.38	1	4	10	0	0.0	RaGCAn one bin, GTDB splits	61
Hoeflea	Bacteria	5	1179	2	62.91	70.69	0	2	5	0	1.0	both split	6
Holospora	Bacteria	4	446	1	71.44	77.15	1	1	4	0	nan	both coherent	3
Homoserinimonas	Bacteria	4	1198	1	74.23	75.55	0	1	3	1	nan	both coherent	4
Hoylesella	Bacteria	10	549	1	66.42	69.95	0	1	9	1	nan	both coherent	36
Hoyosella	Bacteria	4	1675	1	70.29	75.50	0	2	4	0	0.0	RaGCAn one bin, GTDB splits	5
Humibacter	Bacteria	6	1452	1	77.50	80.96	1					not scored (no GTDB data)	6
Hyalangium	Bacteria	4	4129	1	77.89	79.65	0	2	4	0	0.0	RaGCAn one bin, GTDB splits	12
Hydrogenimonas	Bacteria	4	1112	1	72.77	76.12	0	1	4	0	nan	both coherent	4
Hydrogenophaga	Bacteria	18	855	1	68.94	75.12	1	1	16	2	nan	both coherent	66
Hydrogenophilus	Bacteria	4	1510	1	79.98	87.77	1					not scored (no GTDB data)	4
Hydrogenovibrio	Bacteria	5	797	1	65.73	71.51	0	1	4	1	nan	both coherent	4
Hymenobacter	Bacteria	117	367	1	66.18	72.91	5	2	108	9	0.0	RaGCAn one bin, GTDB splits	523
Hyphobacterium	Bacteria	4	1198	1	66.80	69.88	0	1	4	0	nan	both coherent	4
Hyphococcus	Bacteria	5	1543	1	72.34	74.59	0	1	5	0	nan	both coherent	5
Hyphomicrobium	Bacteria	7	753	3	62.72	66.42	0	3	7	0	1.0	both split	6
Hyphomonas	Bacteria	10	1311	1	69.15	73.62	0	1	10	0	nan	both coherent	78
Hyunsoonleella	Bacteria	7	1454	1	75.59	80.59	0	2	7	0	0.0	RaGCAn one bin, GTDB splits	6
Ideonella	Bacteria	11	1031	1	69.28	72.58	0	1	11	0	nan	both coherent	14
Idiomarina	Bacteria	14	885	1	66.39	76.07	2	1	14	0	nan	both coherent	54
Ignatzschineria	Bacteria	5	1109	1	76.44	80.44	1	1	5	0	nan	both coherent	4
Inhella	Bacteria	4	1472	1	72.72	75.30	0	1	4	0	nan	both coherent	5
Intrasporangium	Bacteria	6	1103	1	71.36	75.32	0	4	5	1	0.0	RaGCAn one bin, GTDB splits	6
Iodobacter	Bacteria	4	2395	1	89.22	90.87	1	1	4	0	nan	both coherent	6
Isoptericola	Bacteria	15	1142	1	73.78	77.90	0	1	14	1	nan	both coherent	71
Janibacter	Bacteria	14	571	1	65.72	73.57	0	4	14	0	0.0	RaGCAn one bin, GTDB splits	39
Jannaschia	Bacteria	14	1054	1	69.35	73.82	0	1	14	0	nan	both coherent	64
Janthinobacterium	Bacteria	29	2036	1	76.65	88.92	6	1	28	1	nan	both coherent	78
Jatrophihabitans	Bacteria	5	696	2	61.69	65.50	0	3	4	1	0.5714	both split	5
Jeongeupia	Bacteria	4	2454	1	85.28	87.62	0	1	4	0	nan	both coherent	5
Jeotgalibaca	Bacteria	5	831	1	68.68	71.45	0	1	5	0	nan	both coherent	4
Jeotgalibacillus	Bacteria	9	1197	1	68.51	74.52	1	1	9	0	nan	both coherent	8
Jeotgalicoccus	Bacteria	7	1409	1	76.36	82.22	0	1	7	0	nan	both coherent	5
Jiangella	Bacteria	11	2245	1	77.82	83.93	0	1	11	0	nan	both coherent	37
Jiella	Bacteria	9	1417	1	72.00	78.20	0	2	9	0	0.0	RaGCAn one bin, GTDB splits	11
Kaistella	Bacteria	18	1190	1	74.67	79.48	2	1	18	0	nan	both coherent	11
Kaistia	Bacteria	10	1585	1	70.94	76.15	0	1	10	0	nan	both coherent	97
Kangiella	Bacteria	10	1198	1	71.59	78.36	0	1	10	0	nan	both coherent	8
Kibdelosporangium	Bacteria	5	4104	1	77.16	81.40	0	1	5	0	nan	both coherent	15
Kiloniella	Bacteria	5	2277	1	73.79	80.16	0	1	5	0	nan	both coherent	7
Kineococcus	Bacteria	25	764	1	67.15	75.16	0	2	24	1	0.0	RaGCAn one bin, GTDB splits	83
Kineosporia	Bacteria	5	2817	1	76.72	78.47	0	1	5	0	nan	both coherent	10
Kingella	Bacteria	7	563	1	66.93	72.84	1	6	7	0	0.0	RaGCAn one bin, GTDB splits	5
Kitasatospora	Bacteria	37	780	1	65.05	75.07	0	2	36	1	0.0	RaGCAn one bin, GTDB splits	191
Klebsiella	Bacteria	19	2254	1	86.95	89.88	21	1	19	0	nan	both coherent	39
Klenkia	Bacteria	6	2563	1	84.38	86.34	0	1	6	0	nan	both coherent	8
Kluyvera	Bacteria	8	2902	1	89.64	91.66	4	1	7	1	nan	both coherent	10
Knoellia	Bacteria	11	1083	1	67.01	79.49	0	2	11	0	0.0	RaGCAn one bin, GTDB splits	66
Kocuria	Bacteria	30	401	2	61.73	73.52	1	2	29	1	1.0	both split	51
Komagataeibacter	Bacteria	14	1648	1	82.60	86.25	1	1	13	1	nan	both coherent	91
Kordia	Bacteria	6	2012	1	77.95	79.79	0	1	6	0	nan	both coherent	7
Kordiimonas	Bacteria	9	804	2	62.75	67.83	0	2	8	1	1.0	both split	7
Kosakonia	Bacteria	12	2730	1	86.84	90.30	9	1	10	2	nan	both coherent	153
Kribbella	Bacteria	39	1797	1	72.08	79.68	2	1	37	2	nan	both coherent	226
Kroppenstedtia	Bacteria	4	1280	1	67.44	77.80	0	2	4	0	0.0	RaGCAn one bin, GTDB splits	4
Kurthia	Bacteria	7	1031	1	66.17	71.70	0	1	6	1	nan	both coherent	6
Kushneria	Bacteria	9	1227	1	68.83	78.95	0	1	8	1	nan	both coherent	8
Kutzneria	Bacteria	4	3213	1	71.50	78.79	0	1	4	0	nan	both coherent	11
Labedella	Bacteria	4	1965	1	81.47	83.63	0	1	4	0	nan	both coherent	5
Labilibaculum	Bacteria	4	2524	1	84.31	87.69	1	1	3	1	nan	both coherent	7
Labrys	Bacteria	7	1841	1	68.18	77.07	0	1	7	0	nan	both coherent	16
Laceyella	Bacteria	4	2280	1	81.79	89.57	3	1	4	0	nan	both coherent	5
Lachnoanaerobaculum	Bacteria	5	1465	1	83.05	86.51	0	1	5	0	nan	both coherent	5
Lachnospira	Bacteria	4	682	1	65.15	71.64	1	1	4	0	nan	both coherent	4
Lacibacter	Bacteria	5	2389	1	79.90	83.66	0	1	5	0	nan	both coherent	6
Lacinutrix	Bacteria	12	514	2	64.95	74.48	0	2	8	4	-0.1034	both split	39
Lacrimispora	Bacteria	11	1666	1	75.18	79.80	3	1	10	1	nan	both coherent	103
Lacticaseibacillus	Bacteria	37	365	3	61.53	67.99	15	1	34	3	0.0	RaGCAn split, GTDB one genus	53
Lactiplantibacillus	Bacteria	22	1000	1	76.42	80.27	4	1	22	0	nan	both coherent	18
Lactobacillus	Bacteria	49	123	5	53.35	69.21	7	3	48	1	0.0948	both split	39
Lactococcus	Bacteria	15	483	1	67.64	73.67	4	1	15	0	nan	both coherent	33
Lampropedia	Bacteria	4	958	1	69.55	72.99	0	1	4	0	nan	both coherent	4
Lapidilactobacillus	Bacteria	9	715	1	67.83	73.37	1	1	8	1	nan	both coherent	6
Larkinella	Bacteria	14	1590	1	69.60	79.09	2	2	12	2	0.0	RaGCAn one bin, GTDB splits	104
Latilactobacillus	Bacteria	6	1043	1	78.49	83.85	1	1	5	1	nan	both coherent	5
Leclercia	Bacteria	4	3234	1	89.25	91.88	1	1	4	0	nan	both coherent	6
Lederbergia	Bacteria	9	1252	1	68.40	73.98	0	1	9	0	nan	both coherent	10
Leeuwenhoekiella	Bacteria	9	1318	1	68.88	78.91	1	1	8	1	nan	both coherent	9
Legionella	Bacteria	68	235	5	60.73	69.12	1	6	66	2	0.9923	both split	106
Leifsonia	Bacteria	11	804	1	66.61	76.60	1	3	10	1	0.0	RaGCAn one bin, GTDB splits	53
Leisingera	Bacteria	7	2881	1	87.13	89.67	1	1	7	0	nan	both coherent	9
Lelliottia	Bacteria	5	426	2	52.34	77.17	3	1	4	1	nan	both coherent	6
Lentibacillus	Bacteria	16	689	2	63.57	71.66	0	4	14	2	0.2222	both split	47
Lentilactobacillus	Bacteria	21	461	1	65.15	73.25	1	1	19	2	nan	both coherent	38
Lentzea	Bacteria	28	2419	1	74.85	86.17	4	1	26	2	nan	both coherent	156
Leptolyngbya	Bacteria	4	928	4	60.46	62.27	0	4	4	0	nan	both split	6
Leptospira	Bacteria	73	431	3	54.95	66.12	17	3	73	0	1.0	both split	174
Leptotrichia	Bacteria	10	859	1	75.59	86.08	0	1	10	0	nan	both coherent	7
Leucobacter	Bacteria	34	331	2	63.76	73.72	3	2	30	4	1.0	both split	62
Leuconostoc	Bacteria	18	614	1	68.50	76.39	2	2	18	0	0.0	RaGCAn one bin, GTDB splits	9
Levilactobacillus	Bacteria	32	577	2	64.66	79.75	12	1	31	1	0.0	RaGCAn split, GTDB one genus	59
Ligilactobacillus	Bacteria	20	261	6	61.62	65.63	0	1	19	1	0.0	RaGCAn split, GTDB one genus	9
Limimaricola	Bacteria	6	2015	1	81.19	85.06	0	1	5	1	nan	both coherent	6
Limnobacter	Bacteria	7	1291	1	71.11	80.41	1	1	7	0	nan	both coherent	6
Limnobaculum	Bacteria	5	2217	1	93.13	94.14	2	1	5	0	nan	both coherent	6
Limnohabitans	Bacteria	5	1016	1	70.38	78.85	0	2	5	0	0.0	RaGCAn one bin, GTDB splits	6
Limosilactobacillus	Bacteria	37	317	3	62.16	71.73	9	1	35	2	0.0	RaGCAn split, GTDB one genus	40
Liquorilactobacillus	Bacteria	13	636	1	65.93	70.73	0	1	13	0	nan	both coherent	40
Listeria	Bacteria	23	575	1	65.38	74.87	5	2	22	1	0.0	RaGCAn one bin, GTDB splits	19
Litchfieldella	Bacteria	4	2088	1	78.72	82.86	0	2	4	0	0.0	RaGCAn one bin, GTDB splits	5
Litchfieldia	Bacteria	5	1318	1	67.43	71.26	0	3	5	0	0.0	RaGCAn one bin, GTDB splits	5
Litoreibacter	Bacteria	8	1550	1	70.59	80.73	1	1	8	0	nan	both coherent	8
Loigolactobacillus	Bacteria	8	724	1	65.66	74.47	1	1	8	0	nan	both coherent	5
Loktanella	Bacteria	5	1363	1	68.47	74.20	0	2	5	0	0.0	RaGCAn one bin, GTDB splits	5
Longispora	Bacteria	4	2431	1	72.42	79.78	0	1	3	1	nan	both coherent	8
Lonsdalea	Bacteria	4	2512	1	93.09	93.85	0	1	4	0	nan	both coherent	5
Luteibacter	Bacteria	11	1991	1	79.18	81.24	0	1	11	0	nan	both coherent	115
Luteimonas	Bacteria	43	484	1	68.32	73.03	2	2	42	1	0.0	RaGCAn one bin, GTDB splits	58
Luteococcus	Bacteria	5	992	1	69.82	73.20	0	1	4	1	nan	both coherent	5
Luteolibacter	Bacteria	4	805	2	62.72	65.35	0	1	4	0	0.0	RaGCAn split, GTDB one genus	5
Lutibacter	Bacteria	10	1220	1	73.58	76.68	0	1	10	0	nan	both coherent	31
Lutimaribacter	Bacteria	4	1624	1	68.94	76.58	0	2	4	0	0.0	RaGCAn one bin, GTDB splits	5
Lutimonas	Bacteria	4	2025	1	76.75	79.83	0	1	4	0	nan	both coherent	5
Lysinibacillus	Bacteria	27	667	1	65.10	76.52	8	5	26	1	0.0	RaGCAn one bin, GTDB splits	45
Lysobacter	Bacteria	38	468	2	64.60	73.42	0	11	30	8	0.023	both split	49
Macrococcoides	Bacteria	4	1335	1	75.30	81.61	0	1	4	0	nan	both coherent	4
Macrococcus	Bacteria	12	840	1	68.61	73.63	0	2	12	0	0.0	RaGCAn one bin, GTDB splits	51
Magnetospirillum	Bacteria	6	1028	1	65.77	70.92	0	2	6	0	0.0	RaGCAn one bin, GTDB splits	7
Malaciobacter	Bacteria	6	1036	1	69.37	77.85	1	2	6	0	0.0	RaGCAn one bin, GTDB splits	6
Mammaliicoccus	Bacteria	5	1764	1	82.10	84.87	0	1	5	0	nan	both coherent	5
Mangrovimonas	Bacteria	6	1075	1	69.69	74.51	0	3	6	0	0.0	RaGCAn one bin, GTDB splits	5
Mannheimia	Bacteria	10	768	1	68.84	84.92	2	2	10	0	0.0	RaGCAn one bin, GTDB splits	49
Maribacter	Bacteria	37	490	1	66.26	74.55	2	5	37	0	0.0	RaGCAn one bin, GTDB splits	72
Maribellus	Bacteria	5	1728	1	69.14	74.57	0	1	5	0	nan	both coherent	8
Maricaulis	Bacteria	5	1507	1	70.71	75.12	0	1	5	0	nan	both coherent	5
Maridesulfovibrio	Bacteria	8	1342	1	67.11	74.58	0	1	7	1	nan	both coherent	9
Marilutibacter	Bacteria	6	1544	1	77.82	80.78	0	1	5	1	nan	both coherent	5
Marinicella	Bacteria	8	714	3	60.73	66.76	0	2	8	0	0.3548	both split	6
Marinifilum	Bacteria	4	2685	1	86.06	89.28	0	1	4	0	nan	both coherent	6
Mariniflexile	Bacteria	9	1279	1	74.06	81.03	0	2	9	0	0.0	RaGCAn one bin, GTDB splits	8
Marinimicrobium	Bacteria	5	1176	1	68.49	73.59	0	3	5	0	0.0	RaGCAn one bin, GTDB splits	5
Marinitoga	Bacteria	7	916	1	75.21	80.38	0	1	5	2	nan	both coherent	6
Marinobacter	Bacteria	73	534	1	68.12	76.59	4	2	71	2	0.0	RaGCAn one bin, GTDB splits	202
Marinobacterium	Bacteria	23	498	4	60.40	69.63	0	5	22	1	0.5596	both split	33
Marinococcus	Bacteria	5	2378	1	91.12	93.05	1	1	3	2	nan	both coherent	5
Marinomonas	Bacteria	40	695	1	66.16	74.86	1	1	37	3	nan	both coherent	76
Marinospirillum	Bacteria	6	1026	1	68.81	73.39	0	1	6	0	nan	both coherent	5
Mariprofundus	Bacteria	5	1031	1	69.24	72.30	0	1	5	0	nan	both coherent	5
Marisediminitalea	Bacteria	4	2334	1	75.59	82.19	1	1	4	0	nan	both coherent	6
Maritalea	Bacteria	4	1597	1	69.96	78.86	0	1	4	0	nan	both coherent	5
Maritimibacter	Bacteria	5	1560	1	71.05	77.60	1	2	5	0	0.0	RaGCAn one bin, GTDB splits	6
Marivirga	Bacteria	8	1391	1	68.68	74.88	0	1	8	0	nan	both coherent	8
Marivita	Bacteria	4	2466	1	80.23	83.37	0	1	4	0	nan	both coherent	6
Marivivens	Bacteria	4	1296	1	69.79	72.45	0	2	4	0	0.0	RaGCAn one bin, GTDB splits	4
Martelella	Bacteria	8	1645	1	71.78	79.46	0	1	8	0	nan	both coherent	11
Martinezella	Bacteria	9	2911	1	82.25	85.77	0	1	9	0	nan	both coherent	21
Massilia	Bacteria	53	7	2	54.12	74.56	6	4	51	2	-0.0943	both split	180
Mediterraneibacter	Bacteria	10	596	1	65.91	71.25	1	3	7	3	0.0	RaGCAn one bin, GTDB splits	42
Megasphaera	Bacteria	16	383	3	62.89	69.96	1	2	16	0	-0.1399	both split	28
Meiothermus	Bacteria	7	1349	1	72.15	79.91	0	1	7	0	nan	both coherent	6
Meridianimarinicoccus	Bacteria	4	1574	1	69.53	74.07	0	1	4	0	nan	both coherent	5
Mesobacillus	Bacteria	12	925	1	68.56	74.27	0	4	12	0	0.0	RaGCAn one bin, GTDB splits	61
Mesomycoplasma	Bacteria	11	33	6	51.27	59.03	0	3	11	0	0.3605	both split	7
Mesonia	Bacteria	11	812	1	67.10	72.49	0	1	11	0	nan	both coherent	51
Mesoplasma	Bacteria	13	101	3	55.30	68.54	1	4	13	0	0.8082	both split	12
Mesorhizobium	Bacteria	67	727	1	65.25	80.82	11	10	64	3	0.0	RaGCAn one bin, GTDB splits	447
Metabacillus	Bacteria	26	806	2	63.27	69.94	4	5	25	1	0.738	both split	77
Metallosphaera	Archaea	5	1100	1	67.60	71.44	0	1	5	0	nan	both coherent	54
Metamycoplasma	Bacteria	18	39	5	52.29	64.64	0	2	18	0	0.0767	both split	5
Metapseudomonas	Bacteria	7	2724	1	80.65	86.24	0	1	6	1	nan	both coherent	11
Methanimicrococcus	Archaea	4	1050	1	82.73	84.18	0	1	4	0	nan	both coherent	4
Methanobacterium	Archaea	21	476	4	62.43	67.40	2	6	17	4	0.8411	both split	15
Methanobrevibacter	Archaea	16	298	5	59.06	65.22	0	8	16	0	0.8532	both split	26
Methanocalculus	Archaea	5	1221	1	73.87	77.70	0	1	4	1	nan	both coherent	59
Methanocaldococcus	Archaea	8	641	1	70.48	76.58	0	1	8	0	nan	both coherent	34
Methanococcoides	Archaea	8	1366	1	77.76	83.55	1	1	8	0	nan	both coherent	6
Methanococcus	Archaea	5	453	2	62.35	70.00	0	2	4	1	1.0	both split	25
Methanocorpusculum	Archaea	5	972	1	71.84	79.83	1	1	5	0	nan	both coherent	46
Methanoculleus	Archaea	16	999	1	69.46	80.91	1	2	16	0	0.0	RaGCAn one bin, GTDB splits	57
Methanofollis	Archaea	6	1179	1	71.24	76.14	0	1	6	0	nan	both coherent	55
Methanohalophilus	Archaea	6	887	1	67.50	84.76	0	1	6	0	nan	both coherent	4
