genus	domain	n_species	core_genes	bins_65	min_aai	mean_aai	pairs_ge95	gtdb_genera	genomes_in_gtdb	genomes_not_in_gtdb	ari_vs_gtdb	outcome	wall_seconds
Pasteurella	Bacteria	7	863	1	68.79	77.97	0	3	7	0	0.0	RaGCAn one bin, GTDB splits	5
Patulibacter	Bacteria	6	1096	1	68.28	72.06	0	1	5	1	nan	both coherent	7
Paucilactobacillus	Bacteria	8	525	1	67.19	71.91	0	1	7	1	nan	both coherent	5
Pectinatus	Bacteria	5	1177	1	72.32	74.61	0	1	5	0	nan	both coherent	5
Pectobacterium	Bacteria	26	1941	1	84.21	93.41	62	2	26	0	0.0	RaGCAn one bin, GTDB splits	63
Pediococcus	Bacteria	11	507	2	63.28	70.47	0	1	11	0	0.0	RaGCAn split, GTDB one genus	6
Pedobacter	Bacteria	94	434	3	61.22	71.06	2	3	92	2	1.0	both split	390
Pedococcus	Bacteria	7	1590	1	73.70	79.86	0	2	6	1	0.0	RaGCAn one bin, GTDB splits	7
Pelagerythrobacter	Bacteria	4	1873	1	81.52	84.33	0	1	4	0	nan	both coherent	5
Pelagibacterium	Bacteria	11	1141	1	69.98	74.97	0	1	11	0	nan	both coherent	11
Pelistega	Bacteria	4	900	1	74.05	76.28	0	1	4	0	nan	both coherent	4
Pelomonas	Bacteria	10	1964	1	81.32	83.08	0	1	10	0	nan	both coherent	117
Pelotomaculum	Bacteria	4	982	1	66.15	70.03	0	3	4	0	0.0	RaGCAn one bin, GTDB splits	4
Peptoniphilus	Bacteria	27	141	7	54.16	66.29	3	6	27	0	0.8186	both split	15
Peptostreptococcus	Bacteria	7	592	1	68.16	69.94	0	1	7	0	nan	both coherent	5
Peribacillus	Bacteria	22	805	3	62.81	70.47	1	4	20	2	0.9368	both split	31
Periweissella	Bacteria	5	640	1	68.22	74.42	0	1	5	0	nan	both coherent	4
Peteryoungia	Bacteria	7	2171	1	77.55	82.54	0	1	7	0	nan	both coherent	9
Petrotoga	Bacteria	6	1425	1	91.55	93.16	3	1	5	1	nan	both coherent	5
Phaeobacter	Bacteria	7	2653	1	82.87	88.46	1	1	7	0	nan	both coherent	8
Phenylobacterium	Bacteria	16	602	2	63.84	70.48	0	2	15	1	1.0	both split	41
Phocaeicola	Bacteria	18	580	1	65.34	73.82	1	1	16	2	nan	both coherent	17
Photobacterium	Bacteria	46	1188	1	69.62	75.91	12	1	46	0	nan	both coherent	119
Photorhabdus	Bacteria	26	2014	1	88.51	91.13	26	1	25	1	nan	both coherent	117
Phreatobacter	Bacteria	5	2262	1	74.11	77.89	0	1	4	1	nan	both coherent	8
Phycicoccus	Bacteria	9	802	1	66.13	74.74	1	2	8	1	0.0	RaGCAn one bin, GTDB splits	9
Phyllobacterium	Bacteria	14	1567	1	70.14	81.74	2	2	13	1	0.0	RaGCAn one bin, GTDB splits	100
Phytoactinopolyspora	Bacteria	6	1581	1	71.02	73.61	0	2	6	0	0.0	RaGCAn one bin, GTDB splits	10
Phytobacter	Bacteria	4	3044	1	86.61	88.89	1	2	3	1	0.0	RaGCAn one bin, GTDB splits	6
Phytohabitans	Bacteria	7	2363	1	74.22	80.77	0	1	7	0	nan	both coherent	19
Phytopseudomonas	Bacteria	6	2794	1	84.25	88.17	0	1	6	0	nan	both coherent	8
Pigmentiphaga	Bacteria	6	982	2	64.69	71.92	0	1	6	0	0.0	RaGCAn split, GTDB one genus	13
Planctomicrobium	Bacteria	5	1083	2	64.12	66.92	0	1	5	0	0.0	RaGCAn split, GTDB one genus	6
Planktothrix	Bacteria	5	2672	1	83.18	86.12	0	1	5	0	nan	both coherent	8
Planococcus	Bacteria	32	1090	1	67.30	77.40	7	2	31	1	0.0	RaGCAn one bin, GTDB splits	91
Planomonospora	Bacteria	5	3349	1	84.12	87.56	0	2	4	1	0.0	RaGCAn one bin, GTDB splits	10
Planosporangium	Bacteria	4	2610	1	78.92	80.28	0	1	4	0	nan	both coherent	7
Planotetraspora	Bacteria	5	4652	1	83.34	88.03	0	1	5	0	nan	both coherent	12
Plantactinospora	Bacteria	8	1689	1	70.92	80.67	0	2	8	0	0.0	RaGCAn one bin, GTDB splits	20
Pleomorphomonas	Bacteria	4	2597	1	84.91	87.00	0	1	4	0	nan	both coherent	7
Polaribacter	Bacteria	30	660	1	69.26	76.14	1	1	30	0	nan	both coherent	63
Polaromonas	Bacteria	8	1257	1	73.49	77.83	1	1	8	0	nan	both coherent	9
Pollutimonas	Bacteria	6	1549	1	75.59	78.64	0	4	6	0	0.0	RaGCAn one bin, GTDB splits	8
