genus	domain	n_species	core_genes	bins_65	min_aai	mean_aai	pairs_ge95	gtdb_genera	genomes_in_gtdb	genomes_not_in_gtdb	ari_vs_gtdb	outcome	wall_seconds
Erysipelothrix	Bacteria	10	301	5	56.38	69.06	3	1	10	0	0.0	RaGCAn split, GTDB one genus	23
Neolewinella	Bacteria	10	1079	2	64.47	69.55	0	1	10	0	0.0	RaGCAn split, GTDB one genus	72
Niallia	Bacteria	10	1112	2	64.08	72.44	0	2	8	2	1.0	both split	72
Priestia	Bacteria	10	685	3	59.71	68.28	3	5	10	0	0.5055	both split	48
Rhodopseudomonas	Bacteria	10	402	2	54.70	74.49	0	4	8	2	0.3125	both split	36
Sulfurospirillum	Bacteria	10	612	3	61.21	74.96	1	3	10	0	1.0	both split	43
Alkaliphilus	Bacteria	9	605	4	61.32	64.50	0	5	8	1	0.7113	both split	8
Geobacter	Bacteria	9	923	2	63.78	74.84	1	2	8	1	0.0	RaGCAn one bin, GTDB splits	9
Granulicella	Bacteria	9	568	2	62.18	66.05	0	2	9	0	1.0	both split	9
Kordiimonas	Bacteria	9	804	2	62.75	67.83	0	2	8	1	1.0	both split	7
Mycetocola	Bacteria	9	601	3	63.08	70.31	0	3	6	3	1.0	both split	7
Olsenella	Bacteria	9	366	2	63.52	67.88	0	8	9	0	0.0357	both split	6
Rubrobacter	Bacteria	9	481	4	62.59	66.63	0	7	9	0	0.3415	both split	7
Stieleria	Bacteria	9	991	3	62.03	72.20	0	2	9	0	0.5714	both split	21
Marinicella	Bacteria	8	714	3	60.73	66.76	0	2	8	0	0.3548	both split	6
Thioalkalivibrio	Bacteria	8	590	2	61.33	68.15	0	2	8	0	1.0	both split	6
Acetivibrio	Bacteria	7	117	3	48.00	65.15	0	4	6	1	0.5946	both split	7
Acholeplasma	Bacteria	7	183	3	54.53	63.45	0	2	7	0	0.2759	both split	4
Anaplasma	Bacteria	7	280	3	64.15	70.47	0	1	7	0	0.0	RaGCAn split, GTDB one genus	4
Aquabacterium	Bacteria	7	824	2	62.50	71.44	0	2	7	0	1.0	both split	8
Coprococcus	Bacteria	7	289	3	56.52	63.21	1	4	7	0	0.8591	both split	5
Ehrlichia	Bacteria	7	47	2	48.30	72.51	0	2	7	0	1.0	both split	3
Hyphomicrobium	Bacteria	7	753	3	62.72	66.42	0	3	7	0	1.0	both split	6
Nitrospira	Bacteria	7	531	3	57.20	65.24	0	4	5	2	0.1379	both split	7
Pararhizobium	Bacteria	7	941	2	61.73	74.63	0	2	7	0	1.0	both split	10
Parvularcula	Bacteria	7	466	4	59.82	63.96	0	1	7	0	0.0	RaGCAn split, GTDB one genus	5
Solimonas	Bacteria	7	1083	2	64.69	73.27	1	2	7	0	1.0	both split	7
Ureaplasma	Bacteria	7	55	5	52.44	60.70	0	1	7	0	0.0	RaGCAn split, GTDB one genus	4
Alkalihalobacillus	Bacteria	6	930	3	61.24	68.55	0	3	6	0	1.0	both split	6
Anaerocolumna	Bacteria	6	899	2	64.46	69.47	0	1	6	0	0.0	RaGCAn split, GTDB one genus	8
Chelatococcus	Bacteria	6	955	2	61.34	71.46	0	3	6	0	0.5	both split	9
Desulfobulbus	Bacteria	6	534	2	61.06	68.39	0	1	6	0	0.0	RaGCAn split, GTDB one genus	6
Desulfuromonas	Bacteria	6	485	3	59.51	63.00	0	4	4	2	0.0	both split	6
Dialister	Bacteria	6	381	3	61.46	65.46	0	2	6	0	0.5872	both split	4
Mycoplasmoides	Bacteria	6	17	4	44.93	52.48	0	2	6	0	0.1429	both split	3
Parasphingorhabdus	Bacteria	6	8	2	39.89	65.13	0	1	5	1	nan	both coherent	5
Pigmentiphaga	Bacteria	6	982	2	64.69	71.92	0	1	6	0	0.0	RaGCAn split, GTDB one genus	13
Pseudoclavibacter	Bacteria	6	240	3	56.25	62.66	0	2	6	0	0.4444	both split	5
Psychrosphaera	Bacteria	6	541	2	62.57	69.49	0	1	6	0	0.0	RaGCAn split, GTDB one genus	5
Reichenbachiella	Bacteria	6	1010	2	63.80	68.08	0	1	6	0	0.0	RaGCAn split, GTDB one genus	7
Rhodopirellula	Bacteria	6	1368	2	63.41	78.10	0	2	6	0	1.0	both split	10
Slackia	Bacteria	6	443	2	63.73	68.23	0	1	6	0	0.0	RaGCAn split, GTDB one genus	4
Vallitalea	Bacteria	6	680	2	56.31	71.29	0	2	5	1	1.0	both split	9
Amnibacterium	Bacteria	5	705	2	62.37	71.79	0	2	5	0	1.0	both split	5
Bathymodiolus	Bacteria	5	160	2	51.75	64.16	0	2	5	0	1.0	both split	7
Caldalkalibacillus	Bacteria	5	737	4	61.61	65.09	0	3	4	1	1.0	both split	5
Caloramator	Bacteria	5	631	3	64.06	68.28	0	3	5	0	1.0	both split	4
Dongia	Bacteria	5	1079	4	63.66	65.46	0	3	5	0	0.4118	both split	7
Faecalicatena	Bacteria	5	802	2	64.87	71.17	0	4	5	0	0.1379	both split	6
Ferruginibacter	Bacteria	5	752	2	64.19	67.06	0	1	4	1	0.0	RaGCAn split, GTDB one genus	5
Fusibacter	Bacteria	5	606	4	59.67	62.63	0	3	3	2	nan	both split	5
Helcococcus	Bacteria	5	401	2	63.36	68.10	0	1	5	0	0.0	RaGCAn split, GTDB one genus	4
Hoeflea	Bacteria	5	1179	2	62.91	70.69	0	2	5	0	1.0	both split	6
Jatrophihabitans	Bacteria	5	696	2	61.69	65.50	0	3	4	1	0.5714	both split	5
Lelliottia	Bacteria	5	426	2	52.34	77.17	3	1	4	1	nan	both coherent	6
Mogibacterium	Bacteria	5	479	2	64.73	77.43	0	2	5	0	1.0	both split	4
Nostocoides	Bacteria	5	893	2	63.44	70.11	0	2	4	1	1.0	both split	5
Paenalicyclobacillus	Bacteria	5	599	3	60.54	63.89	0	4	5	0	0.6154	both split	5
Planctomicrobium	Bacteria	5	1083	2	64.12	66.92	0	1	5	0	0.0	RaGCAn split, GTDB one genus	6
Propioniciclava	Bacteria	5	618	2	63.78	69.26	0	1	5	0	0.0	RaGCAn split, GTDB one genus	5
Pseudothermotoga	Bacteria	5	755	2	64.67	70.17	1	3	5	0	0.2857	both split	4
Reinekea	Bacteria	5	868	2	64.92	66.97	0	1	5	0	0.0	RaGCAn split, GTDB one genus	5
Sphingosinicella	Bacteria	5	634	2	59.08	69.19	0	2	5	0	1.0	both split	5
Spirochaeta	Bacteria	5	156	4	47.99	51.90	0	4	4	1	nan	both split	5
Syntrophomonas	Bacteria	5	511	4	61.04	63.64	0	3	3	2	nan	both split	4
Taibaiella	Bacteria	5	817	2	59.94	67.11	0	2	5	0	1.0	both split	6
Terriglobus	Bacteria	5	712	3	62.20	65.76	0	1	5	0	0.0	RaGCAn split, GTDB one genus	6
Tissierella	Bacteria	5	652	2	61.95	70.01	0	3	5	0	0.4444	both split	5
Angustibacter	Bacteria	4	780	2	62.68	68.23	0					not scored (no GTDB data)	5
Aphanothece	Bacteria	4	283	2	51.91	62.67	1	3	4	0	0.5714	both split	4
Butyricicoccus	Bacteria	4	434	3	59.47	63.30	0	3	4	0	1.0	both split	4
Facklamia	Bacteria	4	524	2	63.37	65.21	0	1	3	1	0.0	RaGCAn split, GTDB one genus	4
Granulicatella	Bacteria	4	491	2	64.92	66.50	0	1	3	1	0.0	RaGCAn split, GTDB one genus	4
Hathewaya	Bacteria	4	644	2	61.55	66.93	0	1	4	0	0.0	RaGCAn split, GTDB one genus	4
Leptolyngbya	Bacteria	4	928	4	60.46	62.27	0	4	4	0	nan	both split	6
Luteolibacter	Bacteria	4	805	2	62.72	65.35	0	1	4	0	0.0	RaGCAn split, GTDB one genus	5
Selenomonas	Bacteria	4	709	2	63.71	68.20	0	3	4	0	0.5714	both split	4
Solemya	Bacteria	4	393	3	57.91	64.98	0	3	4	0	1.0	both split	4
Thermotoga	Bacteria	4	394	2	57.01	72.76	1	2	4	0	1.0	both split	4
