genus	n	not_in_gtdb	bins	gtdb_genera	ari	identical
Kingella	7	0	1	6	0.0	0
Kitasatospora	36	1	1	2	0.0	0
Klebsiella	19	0	1	1	nan	1
Klenkia	6	0	1	1	nan	1
Kluyvera	7	1	1	1	nan	1
Knoellia	11	0	1	2	0.0	0
Kocuria	29	1	2	2	1.0	0
Komagataeibacter	13	1	1	1	nan	1
Kordia	6	0	1	1	nan	1
Kordiimonas	8	1	2	2	1.0	0
Kosakonia	10	2	1	1	nan	1
Kribbella	37	2	1	1	nan	1
Kroppenstedtia	4	0	1	2	0.0	0
Kurthia	6	1	1	1	nan	1
Kushneria	8	1	1	1	nan	1
Kutzneria	4	0	1	1	nan	1
Labedella	4	0	1	1	nan	1
Labilibaculum	3	1	1	1	nan	1
Labrys	7	0	1	1	nan	1
Laceyella	4	0	1	1	nan	1
Lachnoanaerobaculum	5	0	1	1	nan	1
Lachnospira	4	0	1	1	nan	1
Lacibacter	5	0	1	1	nan	1
Lacinutrix	8	4	2	2	-0.1034	0
Lacrimispora	10	1	1	1	nan	1
Lacticaseibacillus	34	3	3	1	0.0	0
Lactiplantibacillus	22	0	1	1	nan	1
Lactobacillus	48	1	5	3	0.0948	0
Lactococcus	15	0	1	1	nan	1
Lampropedia	4	0	1	1	nan	1
Lapidilactobacillus	8	1	1	1	nan	1
Larkinella	12	2	1	2	0.0	0
Latilactobacillus	5	1	1	1	nan	1
Leclercia	4	0	1	1	nan	1
Lederbergia	9	0	1	1	nan	1
Leeuwenhoekiella	8	1	1	1	nan	1
Legionella	66	2	5	6	0.9923	0
Leifsonia	10	1	1	3	0.0	0
Leisingera	7	0	1	1	nan	1
Lelliottia	4	1	1	1	nan	1
Lentibacillus	14	2	2	4	0.2222	0
Lentilactobacillus	19	2	1	1	nan	1
Lentzea	26	2	1	1	nan	1
Leptolyngbya	4	0	4	4	nan	0
Leptospira	73	0	3	3	1.0	0
Leptotrichia	10	0	1	1	nan	1
Leucobacter	30	4	2	2	1.0	0
Leuconostoc	18	0	1	2	0.0	0
Levilactobacillus	31	1	2	1	0.0	0
Ligilactobacillus	19	1	6	1	0.0	0
Limimaricola	5	1	1	1	nan	1
Limnobacter	7	0	1	1	nan	1
Limnobaculum	5	0	1	1	nan	1
Limnohabitans	5	0	1	2	0.0	0
Limosilactobacillus	35	2	3	1	0.0	0
Liquorilactobacillus	13	0	1	1	nan	1
Listeria	22	1	1	2	0.0	0
Litchfieldella	4	0	1	2	0.0	0
Litchfieldia	5	0	1	3	0.0	0
Litoreibacter	8	0	1	1	nan	1
Loigolactobacillus	8	0	1	1	nan	1
Loktanella	5	0	1	2	0.0	0
Longispora	3	1	1	1	nan	1
Lonsdalea	4	0	1	1	nan	1
Luteibacter	11	0	1	1	nan	1
Luteimonas	42	1	1	2	0.0	0
Luteococcus	4	1	1	1	nan	1
Luteolibacter	4	0	2	1	0.0	0
Lutibacter	10	0	1	1	nan	1
Lutimaribacter	4	0	1	2	0.0	0
Lutimonas	4	0	1	1	nan	1
Lysinibacillus	26	1	1	5	0.0	0
Lysobacter	30	8	2	11	0.023	0
Macrococcoides	4	0	1	1	nan	1
Macrococcus	12	0	1	2	0.0	0
Magnetospirillum	6	0	1	2	0.0	0
Malaciobacter	6	0	1	2	0.0	0
Mammaliicoccus	5	0	1	1	nan	1
Mangrovimonas	6	0	1	3	0.0	0
Mannheimia	10	0	1	2	0.0	0
Maribacter	37	0	1	5	0.0	0
Maribellus	5	0	1	1	nan	1
Maricaulis	5	0	1	1	nan	1
Maridesulfovibrio	7	1	1	1	nan	1
Marilutibacter	5	1	1	1	nan	1
Marinicella	8	0	3	2	0.3548	0
Marinifilum	4	0	1	1	nan	1
Mariniflexile	9	0	1	2	0.0	0
Marinimicrobium	5	0	1	3	0.0	0
Marinitoga	5	2	1	1	nan	1
Marinobacter	71	2	1	2	0.0	0
Marinobacterium	22	1	3	5	0.5596	0
Marinococcus	3	2	1	1	nan	1
Marinomonas	37	3	1	1	nan	1
Marinospirillum	6	0	1	1	nan	1
Mariprofundus	5	0	1	1	nan	1
Marisediminitalea	4	0	1	1	nan	1
Maritalea	4	0	1	1	nan	1
Maritimibacter	5	0	1	2	0.0	0
Marivirga	8	0	1	1	nan	1
