# File S18. Genera with two or three named species, screened after the survey with the survey settings (--pident 60 --bin-aai 65, DIAMOND 2.1.8 --very-sensitive).
# 1,046 genera (993 bacterial, 53 archaeal), 2,456 genomes, one per named species; all finished. GTDB release R232.
# Scored by the survey rule (at least three GTDB-classified genomes): 309 genera; 251 agree-whole, 10 agree-divide, 42 missed, 6 flagged.
# Genera with exactly two GTDB-classified genomes (659) are compared descriptively only (bins on those two genomes vs number of GTDB genera): 604 match.
# Part A: one row per genus. gtdb_classified = genomes present in GTDB R232; bins_on_gtdb_genomes and gtdb_genera are computed on those genomes only.
part	genus	domain	genomes_screened	gtdb_classified	all_bins	bins_on_gtdb_genomes	gtdb_genera	result	ari	gtdb_labels_of_the_two
A	Andreesenella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Andreesenella,Andreesenella
A	Andreprevotia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Andreprevotia,Andreprevotia
A	Anoxynatronum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Anoxynatronum,Anoxynatronum
A	Antarcticibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Gillisia,Gillisia
A	Antarcticimicrobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Antarcticimicrobium,Antarcticimicrobium
A	Antiquaquibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Antribacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Antribacter,Antribacter
A	Aporhodopirellula	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Aquabacter	Bacteria	3	3	1	1	2	missed	0.0	
A	Aquariibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aquariibacter,Aquariibacter
A	Aquaspirillum	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Aquibaculum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aquibaculum,Aquibaculum
A	Aquicella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aquicella,Aquicella
A	Aquifex	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Aquiflexum	Bacteria	3	3	1	1	2	missed	0.0	
A	Aquincola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aquincola,Aquincola
A	Aquipuribacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Aquisalimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aquisalimonas,Aquisalimonas
A	Aquisalinus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aquisalinus,Aquisalinus
A	Aquisphaera	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aquisphaera,Aquisphaera
A	Arachnia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Arachnia,Arachnia
A	Arenicella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Arenicella,Arenicella
A	Argonema	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Argonema,Argonema
A	Aristaeella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aristaeella,Aristaeella
A	Arminella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Ascidiimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ascidiimonas,Ascidiimonas
A	Atlantibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Atlantibacter,Atlantibacter
A	Atopobium	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Atopobium,Atopobium
A	Atopomonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Atopomonas,Atopomonas
A	Aurantibacter	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Aurantibacter,Aurantibacter_A
A	Aurantimicrobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aurantimicrobium,Aurantimicrobium
A	Aurantivibrio	Bacteria	2	0	2			not scored; fewer than two GTDB-classified genomes		
A	Auraticoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Auraticoccus,Auraticoccus
A	Azoarcus	Bacteria	3	3	1	1	2	missed	0.0	
A	Azomonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Azomonas,Azomonas
A	Azonexus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Azorhizobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Azospira	Bacteria	3	3	1	1	2	missed	0.0	
A	Bacteriovorax	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Bacteriovorax,Bacteriovorax
A	Baekduia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Baekduia,Baekduia
A	Barnesiella	Bacteria	3	3	1	1	2	missed	0.0	
A	Barrientosiimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Barrientosiimonas,Barrientosiimonas
A	Beggiatoa	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Beggiatoa,Beggiatoa
