# File S18. Genera with two or three named species, screened after the survey with the survey settings (--pident 60 --bin-aai 65, DIAMOND 2.1.8 --very-sensitive).
# 1,046 genera (993 bacterial, 53 archaeal), 2,456 genomes, one per named species; all finished. GTDB release R232.
# Scored by the survey rule (at least three GTDB-classified genomes): 309 genera; 251 agree-whole, 10 agree-divide, 42 missed, 6 flagged.
# Genera with exactly two GTDB-classified genomes (659) are compared descriptively only (bins on those two genomes vs number of GTDB genera): 604 match.
# Part A: one row per genus. gtdb_classified = genomes present in GTDB R232; bins_on_gtdb_genomes and gtdb_genera are computed on those genomes only.
part	genus	domain	genomes_screened	gtdb_classified	all_bins	bins_on_gtdb_genomes	gtdb_genera	result	ari	gtdb_labels_of_the_two
A	Malacoplasma	Bacteria	3	3	3	3	1	flagged	0.0	
A	Malikia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Malikia,Malikia
A	Mangrovibacter	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Mangrovibacter,Mangrovibacter
A	Mangrovibacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Mangrovicoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mangrovicoccus,Mangrovicoccus
A	Mangrovivirga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mangrovivirga,Mangrovivirga
A	Marichromatium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Marimonas	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Marimonas,Marimonas_A
A	Marinactinospora	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Marinitenerispora,Marinactinospora
A	Marinagarivorans	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Marinagarivorans,Marinagarivorans
A	Marinicauda	Bacteria	3	3	1	1	2	missed	0.0	
A	Marinicrinis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Marinicrinis,Marinicrinis
A	Marinilabilia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Marinilabilia,Marinilabilia
A	Marinilactibacillus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Mariniluteicoccus	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Marininema	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Marininema,Marininema
A	Mariniphaga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mariniphaga,Mariniphaga
A	Mariniradius	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mariniradius,Mariniradius
A	Marinoscillum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Marinovum	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Marisediminicola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Marisediminicola,Marisediminicola
A	Marixanthomonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Marixanthomonas,Marixanthomonas
A	Massiliimalia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Massiliimalia,Massiliimalia
A	Megalodesulfovibrio	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Megamonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Melaminivora	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Melghirimyces	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Membranihabitans	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Membranihabitans,Membranihabitans
A	Mesobacterium	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Mesobacterium_A,Mesobacterium
A	Mesoflavibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mesoflavibacter,Mesoflavibacter
A	Mesohalobacter	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Mesosutterella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Mesoterricola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mesoterricola,Mesoterricola
A	Mesotoga	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Metasolibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Metasolibacillus,Metasolibacillus
A	Methanocella	Archaea	3	3	2	2	2	agree-divide	1.0	
A	Methanogenium	Archaea	3	2	1	1	1	not scored; two-genome comparison (match)		Methanogenium,Methanogenium
A	Methanolacinia	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Methanolacinia,Methanolacinia
A	Methanolapillus	Archaea	3	3	1	1	1	agree-whole	nan	
A	Methanomicrobium	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Methanomicrobium,Methanomicrobium
A	Methanoplanus	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Methanoplanus,Methanoplanus
A	Methanorbis	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Methanocorpusculum,Methanocorpusculum
A	Methanoregula	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Methanoregula,Methanoregula
A	Methanosalsum	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Methanosalsum,Methanosalsum
A	Methanosphaera	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Methanosphaera,Methanosphaera
A	Methanosphaerula	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Methanosphaerula,Methanosphaerula
A	Methanothermococcus	Archaea	3	3	1	1	2	missed	0.0	
A	Methanothrix	Archaea	3	3	3	3	3	agree-divide	nan	
A	Methanotorris	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Methanotorris,Methanotorris
A	Methylacidimicrobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Methylacidimicrobium,Methylacidimicrobium
A	Methylacidiphilum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Methylibium	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Methylibium,Pseudorivibacter
A	Methylobrevis	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Methylobrevis_A,Methylobrevis
A	Methylocaldum	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Methylocaldum,Methylocaldum
A	Methylocella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Methylocapsa,Methylocapsa
A	Methylococcus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Methyloligella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Methyloligella,Methyloligella
A	Methylomarinovum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Methylohalobius,Methylohalobius
A	Methylomarinum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Methylomarinum,Methylomarinum
A	Methylomicrobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Methylosinus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Methylosinus,Methylosinus
A	Methylotenera	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Methylotuvimicrobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Methylotuvimicrobium,Methylotuvimicrobium
A	Methyloversatilis	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Methylovorus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Methylovulum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Methylovulum,Methylovulum
A	Microbaculum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Micropruina	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Micropruina,Micropruina
A	Microterricola	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Microvirgula	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Miltoncostaea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Miltoncostaea,Miltoncostaea
A	Miniphocaeibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Miniphocaeibacter,Miniphocaeibacter
A	Mitsuokella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mitsuokella,Mitsuokella
A	Mobilicoccus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Moheibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Mongoliitalea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mongoliitalea,Mongoliitalea
A	Moorella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Neomoorella,Neomoorella
A	Moorena	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Moorena,Moorena
A	Morganella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Morganella,Morganella
A	Motiliproteus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Motiliproteus,Motiliproteus
A	Murdochiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Murdochiella,Murdochiella
A	Muribaculum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Muriicola	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Musicola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Musicola,Musicola
A	Mycetohabitans	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mycetohabitans,Mycetohabitans
A	Mycolicibacillus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Naasia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Naasia,Naasia
A	Natranaeroarchaeum	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Natranaeroarchaeum,Natranaeroarchaeum
A	Natranaerobius	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Natranaerobius,Natranaerobius_A
A	Natranaerovirga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Natranaerovirga,Natranaerovirga
A	Natrarchaeobaculum	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Natrarchaeobaculum,Natrarchaeobaculum
A	Natroniella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Natroniella,Natroniella
A	Natronincola	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Natronincola_B,Natronincola_A
A	Natronoarchaeum	Archaea	3	1	1			not scored; fewer than two GTDB-classified genomes		
A	Natronospira	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Naumannella	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Naumannella,Naumannella
A	Nautilia	Bacteria	3	1	1			not scored; fewer than two GTDB-classified genomes		
A	Necropsobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Necropsobacter,Necropsobacter
A	Neglectibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Acutalibacter,Acutalibacter
A	Neiella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Neoalteromonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Neoaquamicrobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aerobium,Aerobium
A	Neokomagataea	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Neomicrococcus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Neomicrococcus,Neomicrococcus
A	Neopusillimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Neorhodopirellula	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Rhodopirellula,Rhodopirellula
A	Neorickettsia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Neptunicella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Neptunicella,Neptunicella
A	Neptunicoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Amylibacter,Amylibacter
A	Neptunitalea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Neptunitalea,Neptunitalea
A	Nevskia	Bacteria	2	2	2	2	1	not scored; two-genome comparison (differ)		Nevskia,Nevskia
A	Nibrella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Nibrella,Nibrella
A	Nibribacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Nibribacter,Nibribacter
A	Nicoliella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Nicoliella,Nicoliella
A	Ningiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Glaciecola,Glaciecola
A	Nitrobacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Nitrogeniibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Nitrogeniibacter,Nitrogeniibacter
A	Nitrosophilus	Bacteria	3	3	1	1	2	missed	0.0	
A	Nitrosospira	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Nitrospina	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Nitrospina,Nitrospina
A	Niveibacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Njordella	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Nosocomiicoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Nosocomiicoccus,Nosocomiicoccus
A	Notoacmeibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Notoacmeibacter,Notoacmeibacter
A	Noviluteimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Novosphingopyxis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Novosphingopyxis,Novosphingopyxis
A	Oceanibaculum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Oceanidesulfovibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Oceanidesulfovibrio,Oceanidesulfovibrio
A	Oceaniferula	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Oceanithermus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Oceanithermus,Oceanithermus
A	Oceanivirga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Oceanivirga,Oceanivirga
A	Oceanobacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Odoribacter	Bacteria	3	3	1	1	2	missed	0.0	
A	Oenococcus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Ohtaekwangia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ohtaekwangia,Ohtaekwangia
A	Okibacterium	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Oleiagrimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Oleiagrimonas,Oleiagrimonas
A	Oleidesulfovibrio	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Oligella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Oligella,Oligella
A	Onishia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Onishia,Onishia
A	Opacimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Opacimonas,Opacimonas
A	Orenia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Orenia,Orenia
A	Oribacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Orientia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Orientia,Orientia
A	Orlajensenia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Orlajensenia,Orlajensenia
A	Ornithinicoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ornithinicoccus,Ornithinicoccus
A	Orrella	Bacteria	3	3	2	2	2	agree-divide	1.0	
A	Oryzobacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Oryzomonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Oxalicibacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Oxynema	Bacteria	3	3	1	1	2	missed	0.0	
A	Pacificibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Celeribacter,Celeribacter
A	Pacificimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Paenacidovorax	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Paenacidovorax,Acidovorax_F
A	Paenochrobactrum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Palaeococcus	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Palaeococcus,Palaeococcus
A	Palleniella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Prevotella,Prevotella
A	Pallidibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pallidibacillus,Pallidibacillus
A	Paludibacter	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Microbacter,Paludibacter
A	Pampinifervens	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Panacibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Panacibacter,Panacibacter
A	Parablautia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Suilimivivens,Suilimivivens
A	Paracandidimonas	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Allopusillimonas,Paracandidimonas
A	Paracholeplasma	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Paraconexibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Paraconexibacter,Paraconexibacter
A	Paracraurococcus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Paracraurococcus,Paracraurococcus
A	Paradesulfitobacterium	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Paradevosia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Paradevosia,Paradevosia
A	Paraeggerthella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Paraeggerthella,Paraeggerthella
A	Paraferrimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Paraferrimonas,Paraferrimonas
A	Parafrigoribacterium	Bacteria	3	3	1	1	2	missed	0.0	
A	Parahaliea	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Parahoeflea	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Paralcaligenes	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Paramylibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Amylibacter,Amylibacter
A	Paraoerskovia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Paraoerskovia,Paraoerskovia
A	Paraperibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Paraperibacillus,Paraperibacillus
A	Paraperlucidibaca	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Perlucidibaca,Perlucidibaca
A	Paraplanobispora	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Planobispora,Planobispora
A	Paraprevotella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Paraprevotella,Paraprevotella
A	Pararhodospirillum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pararhodospirillum,Pararhodospirillum
A	Pararobbsia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pararobbsia,Pararobbsia
A	Parasediminibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Parasediminibacterium,Parasediminibacterium
A	Parasphingopyxis	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Parasutterella	Bacteria	3	3	2	2	2	agree-divide	1.0	
A	Parendozoicomonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Parvibaculum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Parviterribacter	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Pasteuria	Bacteria	2	1	2			not scored; fewer than two GTDB-classified genomes		
A	Patiriisocius	Bacteria	3	3	1	1	2	missed	0.0	
A	Paucibacter	Bacteria	3	3	1	1	2	missed	0.0	
A	Paucidesulfovibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Paucidesulfovibrio,Paucidesulfovibrio
A	Paucisalibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ornithinibacillus,Ornithinibacillus
A	Pelagibius	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pelagibius,Pelagibius
A	Pelagicoccus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pelagimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pelagimonas,Pelagimonas
A	Pelobacter	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Pseudopelobacter,Seleniibacterium
A	Pelodictyon	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Chlorobium,Chlorobium
A	Pelosinus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pendulispora	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pengzhenrongella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Peptacetobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Peptacetobacter,Peptacetobacter
A	Peptoclostridium	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Peptoclostridium_A,Peptoclostridium
A	Peptococcus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Peptococcus,Peptococcus
A	Peristeroidobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Steroidobacter,Steroidobacter
A	Perlucidibaca	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Perlucidibaca,Perlucidibaca
A	Permianibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Permianibacter,Permianibacter
A	Persephonella	Bacteria	3	3	1	1	2	missed	0.0	
A	Persicobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Persicobacter,Persicobacter
A	Peterkaempfera	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Petrimonas	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Phaeocystidibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Phaeocystidibacter,Phaeocystidibacter
A	Phaeodactylibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Phaeodactylibacter,Phaeodactylibacter
A	Phaeovulum	Bacteria	3	3	1	1	3	missed	0.0	
A	Phascolarctobacterium	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Phascolarctobacterium,Phascolarctobacterium_A
A	Phocicoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Phocicoccus,Phocicoccus
A	Phocoenobacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Phormidium	Bacteria	3	3	3	3	3	agree-divide	nan	
A	Phycobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Phycobacter,Phycobacter
A	Pilimelia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pilosibacter	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Pinibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pinibacter,Pinibacter
A	Piscibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Piscibacillus,Piscibacillus
A	Piscirickettsia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Piscirickettsia,Piscirickettsia
A	Planctomonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Planctomonas,Planctomonas
A	Planctopirus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Planifilum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Planifilum,Planifilum
A	Planktotalea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Planktotalea,Planktotalea
A	Planobispora	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Planobispora,Planobispora
A	Planomicrobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Plantibacter	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Plantibacter,Plantibacter
A	Plasticicumulans	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Plasticicumulans,Plasticicumulans_A
A	Plastoroseomonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Plastoroseomonas,Plastoroseomonas
A	Plebeiibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Saccharicrinis,Saccharicrinis
A	Pleionea	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pleomorphochaeta	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Polycladidibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudovibrio,Pseudovibrio
A	Polycladomyces	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Polymorphospora	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Polymorphospora,Polymorphospora
A	Pontibaca	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pontibaca,Pontibaca
A	Pontibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pontibacterium,Pontibacterium
A	Ponticaulis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ponticaulis,Ponticaulis
A	Ponticoccus	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Pontiella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pontimicrobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pontimicrobium,Pontimicrobium
A	Portibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Portibacter,Portibacter
A	Porticoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Porticoccus,Porticoccus
A	Poseidonocella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Poseidonocella,Poseidonocella
A	Posidoniimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Posidoniimonas,Posidoniimonas
A	Pricia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pricia,Pricia
A	Prolixibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Prolixibacter,Prolixibacter
A	Propionispira	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Propionispira,Propionispira
A	Propionispora	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Propionispora,Propionispora
A	Prosthecodimorpha	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Prosthecodimorpha,Prosthecodimorpha
A	Protaetiibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Proteiniclasticum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Proteiniphilum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Proteinivorax	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Proteinivorax,Proteinivorax
A	Pseudactinotalea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudactinotalea,Pseudactinotalea
A	Pseudaestuariivita	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Pseudaestuariivita,Parasulfitobacter
A	Pseudobacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudobacillus,Pseudobacillus
A	Pseudobutyrivibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudobutyrivibrio,Pseudobutyrivibrio
A	Pseudochelatococcus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudochelatococcus,Pseudochelatococcus
A	Pseudocolwellia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudocolwellia,Pseudocolwellia
A	Pseudodonghicola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudodonghicola,Pseudodonghicola
A	Pseudoglutamicibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudoglutamicibacter,Pseudoglutamicibacter
A	Pseudogulbenkiania	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Pseudogulbenkiania,Pseudogulbenkiania
A	Pseudohalioglobus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Halioglobus,Halioglobus
A	Pseudohongiella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pseudokineococcus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Pseudolysinimonas	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Pseudolysinimonas,Pseudolysinimonas_A
